Dish,Per Serving Household Measure, B-Carotene , Calcium , Carbohydrate , Cholesterol , Dietary fibre , Energy , Iron , Monounsaturated fat , Phosphorus , Polyunsaturated fat , Potassium , Protein , Retinol , Riboflavin , Saturated fat , Selenium , Sodium , Starch , Sugar , Thiamin , Total fat , Vitamin A , Vitamin C , Vitamin D , Water , Whole-grains , Zinc 
 Mutton briyani , Plate-23cm (505g) ,202.0,111.1,96.46,95.95,8.08,751.95,7.58,9.09,0.0,2.53,0.0,35.86,0.01,0.0,12.12,0.0,1858.4,0.0,0.0,0.0,24.75,35.35,0.0,0.0,338.35,0.0,0.0
 Mutton curry puff , Piece (121g) ,72.6,30.25,42.47,26.62,3.87,369.05,3.15,7.02,0.0,1.82,0.0,6.78,133.1,0.0,9.56,0.0,695.75,0.0,0.0,0.0,19.12,145.2,0.0,0.0,49.61,0.0,0.0
" Mutton satay, without satay sauce ", Stick (10g) ,0.0,2.7,2.12,10.6,0.0,28.61,0.47,0.49,18.8,0.07,28.0,2.49,2.9,0.06,0.52,3.17,29.4,0.0,2.12,0.0,1.13,2.9,0.05,0.0,4.17,0.0,0.39
 Nasi Lemak with chicken wing , Plate-23cm (412g) ,175.31,117.71,109.34,158.13,8.78,884.03,1.81,11.74,339.82,5.11,398.36,35.11,139.13,0.7,14.34,7.54,1181.99,0.0,0.0,0.21,33.58,167.4,0.0,0.0,197.02,0.0,3.21
" Nasi briyani, rice only ", 1 portion (224g) ,22.4,134.4,68.99,6.72,2.69,391.89,0.67,3.81,76.16,1.12,136.64,6.5,40.32,0.16,4.7,18.14,562.24,67.65,1.34,0.07,9.86,44.8,0.0,0.0,144.93,0.0,0.67
 Nasi lemak with fried egg only , Packet (210g) ,130.2,79.8,79.99,76.23,6.51,493.5,0.84,4.2,176.4,1.26,205.8,12.81,84.0,0.44,7.56,0.0,837.9,0.0,0.0,0.13,13.65,105.0,0.0,0.0,121.59,0.0,1.47
" Nasi lemak, rice only ", Plate-23cm (200g) ,0.0,12.0,73.6,0.0,1.0,379.54,1.2,1.0,74.0,0.4,126.0,6.2,0.0,0.16,5.0,2.8,344.0,72.8,0.8,0.02,6.8,0.0,0.0,0.0,118.6,0.0,1.6
" Ngoh hiang, meat roll ", Cylindrical Piece/Tube (59g) ,0.0,17.11,15.81,13.81,0.77,228.33,0.89,5.84,58.41,2.01,116.23,7.14,0.0,0.28,6.67,1.24,290.87,14.04,1.71,0.08,15.16,0.0,0.0,0.0,21.48,0.0,0.41
" Ngoh hiang, meat roll, bung bung ", Piece (72g) ,6.48,25.92,13.75,3.6,2.59,110.16,0.36,1.26,50.4,0.66,72.72,6.34,0.0,0.05,1.27,1.94,868.32,9.72,0.94,0.01,3.38,1.44,0.0,0.0,47.45,0.0,0.29
" Ngoh hiang, mixed items ", Piece (30g) ,7.5,30.6,6.3,4.8,0.78,68.33,0.39,1.14,0.0,0.6,0.0,2.28,0.0,0.0,1.83,0.0,145.8,0.0,0.0,0.0,3.75,1.2,0.0,0.0,16.8,0.0,0.0
" Ngoh hiang, prawn fritter, crispy ", Piece (49g) ,0.0,165.62,14.11,16.17,0.74,291.55,0.78,7.99,177.38,1.81,37.24,3.92,0.0,0.11,13.48,5.39,217.07,14.11,0.0,0.03,24.4,0.0,0.0,0.0,3.19,0.0,0.2
" Ngoh hiang, prawn fritter, dough ", Piece (72g) ,0.0,93.6,16.56,23.76,1.51,180.72,0.65,2.95,77.04,0.72,59.04,5.47,0.0,0.21,6.19,3.53,251.28,16.34,0.22,0.04,10.3,0.0,0.0,0.0,35.06,0.0,0.29
" Ngoh hiang, sausage ", Piece (49g) ,0.0,11.76,5.1,9.8,0.44,74.97,0.49,1.32,65.66,0.34,84.28,6.96,0.0,0.31,1.18,1.57,213.64,3.87,1.23,0.11,2.99,0.0,0.0,0.0,29.3,0.0,0.39
" Ngoh hiang, yam meat roll ", Piece (60g) ,0.0,14.4,22.8,12.0,1.44,178.8,0.48,2.16,64.2,0.54,165.0,3.48,11.4,0.14,5.16,1.32,292.2,20.7,2.1,0.02,8.22,11.4,0.0,0.0,21.66,0.0,0.42
" Noodles, instant, chicken curry, with seasoning, uncooked ", Packet (85g) ,0.0,9.0,56.1,3.4,0.26,384.78,0.37,5.1,0.0,1.79,0.0,8.42,58.65,0.0,6.12,0.0,1500.0,0.0,0.0,0.0,13.86,58.65,0.0,0.0,8.16,0.0,0.0
" Noodles, laksa, thick, dried ", Piece (128g) ,0.0,11.52,100.1,0.0,2.3,443.9,3.07,0.04,44.8,0.13,12.8,10.24,0.0,0.05,0.04,0.0,1.28,95.62,2.18,0.01,0.26,0.0,0.0,0.0,17.15,0.0,0.64
" Noodles, laksa, thick, wet ", Cup (118g) ,0.0,4.72,45.08,0.0,0.47,182.75,0.35,0.05,5.9,0.01,20.06,0.24,0.0,0.05,0.05,0.0,22.42,42.01,0.94,0.0,0.12,0.0,0.0,0.0,72.33,0.0,0.59
" Noodles, with prawn, tofu and vegetables, soup ", Bowl-soup (16 and 1/2 cm) (741.95g) ,922.24,457.04,41.92,79.76,8.98,474.11,10.91,8.53,197.36,4.53,388.78,26.41,-7.42,0.29,8.24,2247.37,1415.64,36.87,5.05,0.16,22.33,153.58,-7.42,0.0,617.75,0.0,6.31
" Omelette, oyster ", 1 portion (262g) ,146.72,85.15,33.54,366.8,0.0,668.1,6.29,20.17,0.0,7.86,0.0,18.6,314.4,0.0,20.7,0.0,772.9,0.0,0.0,0.0,51.09,337.98,0.0,0.0,154.58,0.0,0.0
 Otak , Piece (29g) ,15.08,25.81,1.22,15.08,0.81,28.42,1.04,0.12,0.0,0.06,0.0,1.68,0.0,0.0,1.57,0.0,202.71,0.0,0.0,0.0,1.86,2.61,0.0,0.0,23.49,0.0,0.0
" Otak, shrimp ", Piece (40g) ,26.0,55.76,4.15,17.76,0.38,62.72,0.6,0.52,38.88,0.14,90.56,4.02,3.76,0.12,2.52,16.48,210.88,2.41,1.74,0.09,3.34,8.08,0.0,0.0,27.02,0.0,0.2
" Otak, sotong ", Piece (32g) ,67.84,9.28,2.5,19.52,0.54,55.68,0.51,0.45,37.76,0.23,104.0,3.84,16.64,0.03,2.34,0.1,188.16,0.77,0.93,0.02,3.39,27.84,-0.32,0.0,21.73,0.0,0.22
" Oven Roasted Chicken Breast Salad, Subway ", Bowl-dessert (15 cm) (358g) ,0.0,60.86,10.99,50.12,4.01,136.04,1.79,0.81,279.24,0.67,733.9,17.9,10.74,0.21,0.72,25.42,282.82,0.0,5.01,0.18,2.61,85.92,28.64,0.0,311.64,0.0,1.47
 Pandan chiffon cake , Slice (41g) ,0.0,20.09,14.72,43.05,0.9,135.26,0.62,2.13,76.26,0.53,62.73,3.32,59.45,0.2,3.16,1.52,74.21,5.62,9.1,0.01,7.01,59.45,0.0,0.0,14.64,0.0,0.29
 Paru goreng , Plate-16cm (49g) ,49.0,10.78,0.0,130.83,0.0,120.39,10.58,3.09,133.28,0.64,116.62,12.99,4.41,0.59,2.01,33.17,258.23,0.0,0.0,0.03,7.6,12.74,0.0,0.0,27.39,0.0,1.47
" Paste, hainanese chicken rice ", Bottle (203g) ,0.0,24.36,31.26,0.0,3.25,714.56,1.02,15.23,127.89,34.67,290.29,7.11,2.03,0.08,12.26,0.0,8696.52,26.39,2.23,0.41,62.32,2.03,0.0,0.0,81.61,0.0,0.41
" Paste, laksa, commercial ", Bottle (270g) ,1552.5,626.4,26.19,91.8,8.1,982.8,6.75,30.92,631.8,12.77,639.9,27.81,0.0,0.38,36.29,0.0,6169.5,4.86,12.15,0.05,85.05,259.2,0.54,0.0,114.48,0.0,1.35
" Paste, mee rebus ", Bottle (225g) ,24.75,488.25,24.75,54.0,11.25,821.25,4.28,23.65,427.5,21.67,688.5,25.65,0.0,0.23,20.52,1.13,8550.0,12.15,1.58,0.05,69.08,4.5,0.0,0.0,87.3,0.0,2.03
" Paste, mee siam, commercial ", Bottle (365g) ,711.75,354.05,103.66,43.8,0.37,938.05,5.11,19.6,503.7,12.26,916.15,8.03,511.0,0.4,20.37,0.0,9760.1,33.58,66.8,0.26,54.75,627.8,0.0,0.0,173.74,0.0,1.46
 Peanut kueh tutu , Piece (25g) ,0.0,2.5,13.93,0.0,0.35,80.19,0.15,0.7,0.0,0.65,0.0,1.88,0.0,0.0,0.4,0.0,0.75,0.0,0.0,0.0,1.85,0.0,0.0,0.0,7.0,0.0,0.0
 Penang laksa , Bowl-soup (16 and 1/2 cm) (629g) ,616.42,79.14,64.55,66.28,3.71,381.08,3.53,0.93,0.0,0.92,0.0,20.62,14.78,0.0,1.87,0.0,3352.98,0.7,16.22,0.0,4.47,118.44,0.0,0.0,517.65,0.0,0.0
 Penang prawn noodle , Bowl-soup (16 and 1/2 cm) (685g) ,0.0,95.9,70.56,27.4,5.48,527.45,1.37,3.15,191.8,1.51,383.6,32.88,0.0,0.14,3.77,0.0,2144.05,63.02,7.54,0.21,8.91,0.0,0.0,0.0,555.54,0.0,1.37
 Pig's liver soup , Bowl-soup (16 and 1/2 cm) (463g) ,92.6,32.41,1.39,277.8,1.39,171.31,9.72,1.9,402.81,0.46,430.59,26.85,15829.97,2.64,3.66,97.69,1342.7,0.0,1.39,0.51,6.48,15848.49,1.39,0.0,420.87,0.0,6.02
 Plain roti prata , Piece (60g) ,0.0,10.8,19.5,0.0,1.32,162.6,0.96,2.81,35.4,0.92,46.8,5.1,2.4,0.0,3.38,2.04,260.4,17.16,2.34,0.17,7.14,2.4,0.0,0.0,17.22,0.0,0.3
" Pop corn, durian flavoured ", Packet (30g) ,43.8,5.4,25.92,0.0,2.55,114.0,0.45,0.06,21.3,0.03,25.5,2.07,9.0,0.05,0.16,0.0,84.6,23.1,0.27,0.02,0.24,16.2,0.87,0.0,1.44,0.0,0.0
 Popiah , Whole (139.89g) ,72.74,72.74,14.27,44.76,4.06,187.57,1.96,4.06,99.32,1.54,204.24,7.55,15.39,0.27,3.64,1.01,675.67,9.37,4.9,0.03,11.19,27.98,0.0,0.0,90.93,0.0,0.7
" Popiah circular shape, skin only ", Piece (8g) ,2.0,1.12,5.45,0.0,0.11,25.2,0.08,0.01,0.0,0.01,8.4,0.59,0.0,0.0,0.04,0.1,36.72,4.71,0.58,0.24,0.11,0.4,0.0,0.0,1.58,0.0,0.03
 Popiah skin , Piece (10g) ,0.0,6.0,4.57,0.0,0.22,22.71,0.14,0.01,0.0,0.03,0.0,0.84,0.0,0.0,0.01,0.0,8.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.97,0.0,0.0
" Pork satay, with satay sauce ", Piece (29g) ,0.0,6.93,4.5,24.65,0.87,71.32,0.44,1.54,0.0,0.81,0.0,3.92,0.0,0.0,1.42,0.0,105.85,0.0,0.0,0.0,4.15,0.0,0.0,0.0,15.66,0.0,0.0
 Potato curry puff , Piece (107g) ,25.68,20.33,37.34,0.0,2.46,331.7,1.93,6.79,50.29,2.47,216.14,5.14,0.0,0.03,8.61,1.5,430.14,32.53,4.82,0.07,17.98,4.28,0.0,0.0,42.59,0.0,0.96
 Prawn cocktail , Plate-16cm (119g) ,0.0,29.75,7.14,102.34,0.12,145.18,1.79,4.05,0.0,3.33,119.0,9.64,0.0,0.06,0.71,0.0,987.7,0.0,7.14,0.04,8.81,0.0,3.57,0.0,92.23,0.0,0.95
 Prawn noodles soup , Bowl-soup (16 and 1/2 cm) (574g) ,0.01,103.32,49.36,40.18,4.02,293.58,1.72,0.57,0.0,0.57,0.0,18.94,0.01,0.0,1.15,0.0,2422.28,0.0,0.0,0.0,2.3,0.01,0.0,0.0,493.64,0.0,0.0
 Pulut hitam with coconut milk , Packet (418g) ,4.18,20.9,70.64,0.0,2.51,397.1,0.84,0.84,142.12,0.42,229.9,4.18,0.0,0.04,8.9,0.0,33.44,18.81,51.83,0.13,11.29,0.0,0.0,0.0,331.89,0.0,0.84
" Pulut hitam, served with coconut milk ", Bowl-soup (16 and 1/2 cm) (425.2g) ,0.0,17.01,75.69,0.0,11.91,328.25,0.85,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,340.16,0.0,0.0
" Red rice porridge, plain ", Bowl-rice (11and 1/2 cm) (256g) ,0.0,7.68,15.1,0.0,1.02,74.24,0.51,0.26,64.0,0.2,43.52,2.3,0.0,0.0,0.15,35.84,7.68,15.1,0.0,0.08,0.51,0.0,0.0,0.0,233.98,0.0,0.51
 Rendang hati ayam , Plate-16cm (126g) ,0.0,109.62,0.5,365.4,2.77,236.7,8.69,5.54,349.02,1.76,292.32,26.59,8348.76,3.91,6.17,72.58,553.14,0.38,0.13,0.25,14.24,8348.76,1.26,0.0,78.75,0.0,3.15
" Rice porridge, fish, dry ", Packet (63g) ,10.71,13.23,48.13,0.0,0.19,219.18,0.57,0.0,80.01,0.0,18.9,6.24,19.53,0.13,0.0,0.0,294.21,48.13,0.0,0.03,0.19,21.42,0.82,0.0,4.16,0.0,0.0
" Roast Beef Salad, Subway ", Bowl-dessert (15 cm) (344g) ,0.0,0.0,13.0,25.8,3.99,120.4,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.89,0.0,282.08,0.0,4.99,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0
 Roasted duck rice , Bowl-soup (16 and 1/2 cm) (410g) ,4.85,28.6,99.75,91.61,0.96,736.27,4.84,10.05,177.62,3.31,278.9,28.57,32.04,0.5,8.75,27.9,707.36,92.19,6.41,0.39,24.17,32.84,5.48,0.0,259.12,0.0,2.2
 Roti john , Whole (252.5g) ,303.0,89.13,77.01,242.4,11.36,722.38,4.55,11.87,0.0,3.03,0.0,25.25,242.4,0.0,18.18,0.0,2014.95,0.0,0.0,0.0,34.59,292.9,0.0,0.0,108.58,0.0,0.0
" Salad with 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (253g) ,6522.34,88.8,7.59,0.0,4.3,58.19,1.77,0.38,0.0,0.68,0.0,4.05,0.0,0.0,0.25,0.0,326.37,1.01,6.58,0.0,1.37,1087.9,21.76,0.0,230.48,0.0,0.0
" Salad with chicken and 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (308g) ,880.88,87.78,5.85,0.0,6.78,147.84,1.66,1.6,0.0,1.32,0.0,21.56,56.36,0.0,1.17,0.0,517.44,0.62,5.24,0.0,4.13,202.97,22.79,0.0,265.5,0.0,0.0
" Salad with chicken and 4 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (342g) ,978.12,94.05,8.89,0.0,8.21,177.84,1.88,2.12,0.0,1.71,0.0,23.26,42.41,0.0,1.54,0.0,595.08,1.71,7.18,0.0,5.37,205.2,22.23,0.0,293.09,0.0,0.0
" Salad with fish and 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (272g) ,1272.96,87.04,5.98,0.0,5.44,114.24,1.88,2.04,0.0,1.5,0.0,12.24,51.95,0.0,0.9,0.0,892.16,0.54,5.44,0.0,4.52,263.84,17.95,0.0,237.73,0.0,0.0
" Salad, ocean chef, Long John Silver's ", 1 portion (320g) ,0.0,160.0,13.12,64.0,1.92,230.98,12.48,1.92,0.0,4.8,0.0,26.88,0.0,0.0,0.96,0.0,985.6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,268.8,0.0,0.0
" Salad, seafood, Long John Silver's ", 1 portion (325g) ,0.0,162.5,14.95,78.0,1.3,290.51,12.68,5.2,0.0,12.03,0.0,13.0,0.0,0.0,2.28,0.0,734.5,0.0,0.0,0.0,20.48,0.0,0.0,0.0,276.25,0.0,0.0
" Salad, vegetable, tossed, without dressing ", Cup (138g) ,0.0,17.94,2.24,0.0,2.21,22.08,0.87,0.0,53.82,0.04,237.36,1.73,0.0,0.07,0.01,0.55,35.88,0.0,0.0,0.04,0.1,157.32,32.02,0.0,131.8,0.0,0.29
" Sandwiches and burgers, roast beef sandwich with cheese ", Whole (118g) ,0.0,122.72,30.42,51.92,0.0,317.42,3.39,2.45,269.04,2.35,231.28,21.61,38.94,0.31,6.05,23.01,1095.04,0.0,0.0,0.26,12.07,38.94,0.0,0.0,51.33,0.0,3.6
 Sardine curry puff , Piece (82g) ,31.98,49.2,25.26,18.86,2.21,255.84,1.07,5.74,79.54,1.48,137.76,6.81,4.92,0.26,6.4,20.5,332.1,22.71,2.54,0.07,14.19,10.66,0.0,0.0,29.85,0.0,0.25
 Satay bee hoon , Plate-20cm (664g) ,2240.7,187.82,48.09,123.55,7.22,727.04,9.82,14.64,497.66,7.36,882.6,42.98,97.79,1.03,9.0,51.15,2922.4,30.75,10.93,0.51,39.44,337.88,15.06,0.0,516.3,0.0,4.37
 Satay sauce , Tablespoon (29g) ,8.12,7.6,3.13,0.0,0.94,77.43,0.41,2.73,26.68,1.45,54.52,1.65,0.0,0.07,2.03,21.87,137.75,0.29,2.84,0.01,6.47,1.35,0.03,0.0,17.9,0.0,0.21
" Satay, beef, frozen ", Stick (16g) ,0.0,3.36,3.02,6.99,0.08,29.92,0.46,0.26,26.4,0.08,42.56,3.02,0.96,0.02,0.22,0.8,50.24,0.13,2.75,0.02,0.64,0.96,0.0,0.0,9.06,0.0,0.78
